lon,lat,elev,obs_phase,pred_phase,pred_support_snow,pred_support_mix,pred_support_rain,obs_support_snow,obs_support_mix,obs_support_rain
-119.86968,39.6025507,1591.5308837890625,rain,rain,0.0,0.0,1.0,0.0,0.0,1.0
-119.8693283,39.602411,1591.5308837890625,rain,rain,0.0,0.0,1.0,0.0,0.0,1.0
-119.776623783333,39.0843566,1463.08984375,rain,rain,0.0,0.0,1.0,0.0,0.0,1.0
-119.80202492909,39.5721488947207,1488.3441162109375,rain,rain,0.0,0.0,1.0,0.0,0.0,1.0
-119.8693274,39.6023876,1591.5308837890625,rain,rain,0.0,0.0,1.0,0.0,0.0,1.0
-119.733860061901,39.5795066438073,1362.42431640625,rain,rain,0.0,0.0,1.0,0.0,0.0,1.0
-119.8323146,39.4790668,1471.4849853515625,rain,rain,0.0,0.006610420406062859,0.993389579593937,0.0,0.0,1.0
-119.819055133333,39.2731945,1534.48974609375,rain,rain,0.0,0.04318482509320356,0.9568151749067965,0.0,0.0,1.0
-120.315823129357,39.8175302585422,1494.4031982421875,rain,rain,0.0,0.14144044632197572,0.8585595536780243,0.0,0.0,1.0
-119.8693274,39.6023876,1591.5308837890625,rain,rain,0.0,0.014068732713109823,0.9859312672868901,0.0,0.0,1.0
-119.789320769316,39.5281661,1363.1636962890625,rain,rain,0.0,0.0016991645816402607,0.9983008354183598,0.0,0.0,1.0
-119.9667505,39.2520179,2016.028076171875,rain,rain,0.0,0.09065356796851136,0.9093464320314886,0.0,0.0,1.0
-119.8168531,39.5251552,1377.3780517578125,rain,rain,0.0,0.0017304896892147777,0.9982695103107853,0.0,0.0,1.0
-120.332602506885,39.3054019321021,2232.354248046875,mix,rain,0.0,0.0,1.0,0.0,1.0,0.0
-119.6870391,39.5591129,1424.55712890625,mix,rain,0.0033634237478693345,0.0,0.9966365762521306,0.0,1.0,0.0
-119.781537466667,39.5133430166667,1350.2310791015625,rain,rain,0.004877586684393963,0.2406935607116946,0.7544288526039115,0.0,0.0,1.0
-119.744263,39.5600358,1356.5489501953125,rain,mix,0.0028447170757073437,0.5404653205089137,0.456689962415379,0.0,0.0,1.0
-120.468989,39.8056058,1484.389892578125,snow,rain,0.0,0.02802141723461115,0.9719785827653888,1.0,0.0,0.0
-120.315823129357,39.8175302585422,1494.4031982421875,rain,snow,0.7940030975583526,0.03698118176183975,0.16901572067980766,0.0,0.0,1.0
-119.8693104,39.6024208,1591.5308837890625,rain,rain,0.01715273304328535,0.20135701930320793,0.7814902476535067,0.0,0.0,1.0
-119.775830883333,39.0883375833333,1463.08984375,rain,rain,0.05981957233600513,0.21235118820030047,0.7278292394636944,0.0,0.0,1.0
-119.825888090029,39.5150290227961,1390.4053955078125,rain,rain,0.0,0.0,1.0,0.0,0.0,1.0
-119.801967301189,39.5721929736194,1488.3441162109375,rain,rain,0.0,0.0,1.0,0.0,0.0,1.0
-119.7997252,39.5710285,1488.3441162109375,rain,rain,0.0,0.0,1.0,0.0,0.0,1.0
-119.8693011,39.6024063,1591.5308837890625,rain,rain,0.0,0.0,1.0,0.0,0.0,1.0
-119.744107,39.5600515,1356.5489501953125,rain,mix,0.296312328869364,0.703687671130636,0.0,0.0,0.0,1.0
-119.967197160021,39.2516797949727,2016.028076171875,mix,snow,0.9999725242679982,2.5430317114040243e-05,2.045414887684886e-06,0.0,1.0,0.0
-120.222090368832,39.3257460635105,1840.677490234375,mix,mix,0.2549022471182713,0.7368192259369477,0.008278526944781036,0.0,1.0,0.0
-120.330264791671,39.3181584768099,2178.289306640625,snow,mix,0.04719234163775627,0.9378649380081867,0.014942720354056962,1.0,0.0,0.0
-120.162976764996,39.3581949908575,1793.0777587890625,mix,mix,0.08632064934793597,0.9065308008194765,0.007148549832587449,0.0,1.0,0.0
-119.9667552,39.2520524,2016.028076171875,snow,mix,3.0503001466511567e-06,0.9999948985957422,2.0511041111398836e-06,1.0,0.0,0.0
-120.109127107769,39.345307382032,1855.036376953125,mix,mix,0.10321761866943538,0.8866617613178273,0.010120620012737386,0.0,1.0,0.0
-119.822206842198,39.5694042736137,1477.7032470703125,rain,snow,0.7556632418178794,0.0,0.2443367581821207,0.0,0.0,1.0
